,,,,,,,,,,,
,Wholesaler ID,Date of Purchase,Month,Product Type,Capacity (ml),Quantity Purchased,ZIP,City,Manager ID,Manager Name,Q3 - 2020 Goals
,R00014,1/1/2020,1/31/2020,Pulp Orange 250ml,250ml,28,36000198,Durgapur ,10014,Taran S,"170,000"
,R00015,1/1/2020,1/31/2020,Pulp Orange 1000ml,1000ml,111,36450915,Gangtok,10015,Rahul S,"235,000"
,R00016,1/1/2020,1/31/2020,Pulp Orange 500ml,500ml,28,38041001,Goa,10016,Kirti S,"145,000"
,R00018,1/1/2020,1/31/2020,Pulp Orange 1000ml,1000ml,34,39058313,Chennai ,10018,Ankit J,"180,000"
,R00022,1/1/2020,1/31/2020,Pulp Orange 1000ml,1000ml,36,41145792,Amritsar,10012,Kalpana K,"200,000"
,R00030,1/1/2020,1/31/2020,Pulp Orange 250ml,250ml,15,57500219,Hyderabad,10020,Abhishek S,"250,000"
,R00031,1/1/2020,1/31/2020,Pulp Orange 500ml,500ml,109,60000111,Agra,10011,Rakesh S,"170,000"
,R00031,1/1/2020,1/31/2020,Pulp Orange 2000ml,2000ml,89,60000111,Agra,10011,Rakesh S,"170,000"
,R00033,1/1/2020,1/31/2020,Pulp Orange 2000ml,2000ml,65,62047108,Chandigarh,10013,Ram S,"225,000"
,R00033,1/1/2020,1/31/2020,Pulp Orange 2000ml,2000ml,99,62047108,Chandigarh,10013,Ram S,"225,000"
,R00037,1/1/2020,1/31/2020,Pulp Orange 2000ml,2000ml,115,68510841,Mumbai,10017,Vishwa P,"190,000"
,R00037,1/1/2020,1/31/2020,Pulp Orange 250ml,250ml,101,68510841,Mumbai,10017,Vishwa P,"190,000"
,R00039,1/1/2020,1/31/2020,Pulp Orange 2000ml,2000ml,112,71321390,Coimbatore ,10019,Kirti S,"160,000"
,R00041,1/1/2020,1/31/2020,Pulp Orange 2000ml,2000ml,94,73401300,Agra,10011,Rakesh S,"170,000"
,R00041,1/1/2020,1/31/2020,Pulp Orange 250ml,250ml,11,73401300,Agra,10011,Rakesh S,"170,000"
,R00042,1/1/2020,1/31/2020,Pulp Orange 250ml,250ml,33,73710945,Amritsar,10012,Kalpana K,"200,000"
,R00044,1/1/2020,1/31/2020,Pulp Orange 500ml,500ml,26,75200141,Durgapur ,10014,Taran S,"170,000"
,R00045,1/1/2020,1/31/2020,Pulp Orange 250ml,250ml,104,76901001,Gangtok,10015,Rahul S,"235,000"
,R00014,1/2/2020,1/31/2020,Pulp Orange 2000ml,2000ml,69,36000198,Durgapur ,10014,Taran S,"170,000"
,R00021,1/2/2020,1/31/2020,Pulp Orange 500ml,500ml,18,40341999,Agra,10011,Rakesh S,"170,000"
,R00027,1/2/2020,1/31/2020,Pulp Orange 250ml,250ml,115,53046792,Mumbai,10017,Vishwa P,"190,000"
,R00032,1/2/2020,1/31/2020,Pulp Orange 1000ml,1000ml,78,60593792,Amritsar,10012,Kalpana K,"200,000"
,R00033,1/2/2020,1/31/2020,Pulp Orange 250ml,250ml,62,62047108,Chandigarh,10013,Ram S,"225,000"
,R00034,1/2/2020,1/31/2020,Pulp Orange 250ml,250ml,195,62503841,Durgapur ,10014,Taran S,"170,000"
,R00034,1/2/2020,1/31/2020,Pulp Orange 500ml,500ml,54,62503841,Durgapur ,10014,Taran S,"170,000"
,R00044,1/2/2020,1/31/2020,Pulp Orange 250ml,250ml,140,75200141,Durgapur ,10014,Taran S,"170,000"
,R00045,1/2/2020,1/31/2020,Pulp Orange 250ml,250ml,19,76901001,Gangtok,10015,Rahul S,"235,000"
,R00046,1/2/2020,1/31/2020,Pulp Orange 1000ml,1000ml,55,78140921,Goa,10016,Kirti S,"145,000"
,R00048,1/2/2020,1/31/2020,Pulp Orange 1000ml,1000ml,86,80002547,Chennai ,10018,Ankit J,"180,000"
,R00013,1/3/2020,1/31/2020,Pulp Orange 2000ml,2000ml,62,31300589,Chandigarh,10013,Ram S,"225,000"
,R00013,1/3/2020,1/31/2020,Pulp Orange 2000ml,2000ml,23,31300589,Chandigarh,10013,Ram S,"225,000"
,R00014,1/3/2020,1/31/2020,Pulp Orange 500ml,500ml,73,36000198,Durgapur ,10014,Taran S,"170,000"
,R00015,1/3/2020,1/31/2020,Pulp Orange 250ml,250ml,31,36450915,Gangtok,10015,Rahul S,"235,000"
,R00017,1/3/2020,1/31/2020,Pulp Orange 500ml,500ml,95,39010098,Mumbai,10017,Vishwa P,"190,000"
,R00023,1/3/2020,1/31/2020,Pulp Orange 250ml,250ml,73,42275901,Chandigarh,10013,Ram S,"225,000"
,R00027,1/3/2020,1/31/2020,Pulp Orange 500ml,500ml,65,53046792,Mumbai,10017,Vishwa P,"190,000"
,R00032,1/3/2020,1/31/2020,Pulp Orange 2000ml,2000ml,109,60593792,Amritsar,10012,Kalpana K,"200,000"
,R00044,1/3/2020,1/31/2020,Pulp Orange 2000ml,2000ml,169,75200141,Durgapur ,10014,Taran S,"170,000"
,R00047,1/3/2020,1/31/2020,Pulp Orange 2000ml,2000ml,51,79300140,Mumbai,10017,Vishwa P,"190,000"
,R00050,1/3/2020,1/31/2020,Pulp Orange 1000ml,1000ml,62,83401402,Hyderabad,10020,Abhishek S,"250,000"
,R00002,1/4/2020,1/31/2020,Pulp Orange 1000ml,1000ml,14,14793702,Amritsar,10012,Kalpana K,"200,000"
,R00023,1/4/2020,1/31/2020,Pulp Orange 500ml,500ml,11,42275901,Chandigarh,10013,Ram S,"225,000"
,R00033,1/4/2020,1/31/2020,Pulp Orange 2000ml,2000ml,51,62047108,Chandigarh,10013,Ram S,"225,000"
,R00042,1/4/2020,1/31/2020,Pulp Orange 250ml,250ml,51,73710945,Amritsar,10012,Kalpana K,"200,000"
,R00050,1/4/2020,1/31/2020,Pulp Orange 1000ml,1000ml,110,83401402,Hyderabad,10020,Abhishek S,"250,000"
,R00003,1/5/2020,1/31/2020,Pulp Orange 1000ml,1000ml,103,16004529,Chandigarh,10013,Ram S,"225,000"
,R00005,1/5/2020,1/31/2020,Pulp Orange 1000ml,1000ml,90,22187493,Gangtok,10015,Rahul S,"235,000"
,R00010,1/5/2020,1/31/2020,Pulp Orange 2000ml,2000ml,82,26309001,Hyderabad,10020,Abhishek S,"250,000"
,R00015,1/5/2020,1/31/2020,Pulp Orange 250ml,250ml,117,36450915,Gangtok,10015,Rahul S,"235,000"
,R00017,1/5/2020,1/31/2020,Pulp Orange 500ml,500ml,104,39010098,Mumbai,10017,Vishwa P,"190,000"
,R00027,1/5/2020,1/31/2020,Pulp Orange 500ml,500ml,59,53046792,Mumbai,10017,Vishwa P,"190,000"
,R00032,1/5/2020,1/31/2020,Pulp Orange 2000ml,2000ml,120,60593792,Amritsar,10012,Kalpana K,"200,000"
,R00040,1/5/2020,1/31/2020,Pulp Orange 2000ml,2000ml,11,71330131,Hyderabad,10020,Abhishek S,"250,000"
,R00047,1/5/2020,1/31/2020,Pulp Orange 500ml,500ml,92,79300140,Mumbai,10017,Vishwa P,"190,000"
,R00047,1/5/2020,1/31/2020,Pulp Orange 1000ml,1000ml,109,79300140,Mumbai,10017,Vishwa P,"190,000"
,R00049,1/5/2020,1/31/2020,Pulp Orange 2000ml,2000ml,38,83105839,Coimbatore ,10019,Kirti S,"160,000"
,R00049,1/5/2020,1/31/2020,Pulp Orange 500ml,500ml,78,83105839,Coimbatore ,10019,Kirti S,"160,000"
,R00050,1/5/2020,1/31/2020,Pulp Orange 250ml,250ml,84,83401402,Hyderabad,10020,Abhishek S,"250,000"
,R00003,1/6/2020,1/31/2020,Pulp Orange 1000ml,1000ml,93,16004529,Chandigarh,10013,Ram S,"225,000"
,R00010,1/6/2020,1/31/2020,Pulp Orange 500ml,500ml,28,26309001,Hyderabad,10020,Abhishek S,"250,000"
,R00023,1/6/2020,1/31/2020,Pulp Orange 1000ml,1000ml,35,42275901,Chandigarh,10013,Ram S,"225,000"
,R00024,1/6/2020,1/31/2020,Pulp Orange 250ml,250ml,66,50004672,Durgapur ,10014,Taran S,"170,000"
,R00026,1/6/2020,1/31/2020,Pulp Orange 1000ml,1000ml,119,52095731,Goa,10016,Kirti S,"145,000"
,R00032,1/6/2020,1/31/2020,Pulp Orange 1000ml,1000ml,99,60593792,Amritsar,10012,Kalpana K,"200,000"
,R00032,1/6/2020,1/31/2020,Pulp Orange 250ml,250ml,31,60593792,Amritsar,10012,Kalpana K,"200,000"
,R00036,1/6/2020,1/31/2020,Pulp Orange 2000ml,2000ml,61,68204232,Goa,10016,Kirti S,"145,000"
,R00042,1/6/2020,1/31/2020,Pulp Orange 250ml,250ml,104,73710945,Amritsar,10012,Kalpana K,"200,000"
,R00048,1/6/2020,1/31/2020,Pulp Orange 1000ml,1000ml,38,80002547,Chennai ,10018,Ankit J,"180,000"
,R00050,1/6/2020,1/31/2020,Pulp Orange 500ml,500ml,41,83401402,Hyderabad,10020,Abhishek S,"250,000"
,R00009,1/7/2020,1/31/2020,Pulp Orange 1000ml,1000ml,34,24987367,Coimbatore ,10019,Kirti S,"160,000"
,R00016,1/7/2020,1/31/2020,Pulp Orange 2000ml,2000ml,60,38041001,Goa,10016,Kirti S,"145,000"
,R00018,1/7/2020,1/31/2020,Pulp Orange 1000ml,1000ml,10,39058313,Chennai ,10018,Ankit J,"180,000"
,R00022,1/7/2020,1/31/2020,Pulp Orange 2000ml,2000ml,16,41145792,Amritsar,10012,Kalpana K,"200,000"
,R00025,1/7/2020,1/31/2020,Pulp Orange 2000ml,2000ml,62,51739701,Gangtok,10015,Rahul S,"235,000"
,R00041,1/7/2020,1/31/2020,Pulp Orange 250ml,250ml,27,73401300,Agra,10011,Rakesh S,"170,000"
,R00043,1/7/2020,1/31/2020,Pulp Orange 250ml,250ml,64,75109301,Chandigarh,10013,Ram S,"225,000"
,R00046,1/7/2020,1/31/2020,Pulp Orange 2000ml,2000ml,80,78140921,Goa,10016,Kirti S,"145,000"
,R00047,1/7/2020,1/31/2020,Pulp Orange 500ml,500ml,54,79300140,Mumbai,10017,Vishwa P,"190,000"
